ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Smelt,20.23,3.21,0.78,0.0,0.0,0.0,57.9,0.25,18.57,55.4,0.0,13.63
Smoked Link Sausage,29.6,1.31,2.58,0.2,0.0,0.13,3.93,0.12,109.07,30.8,0.11,6.37
Snack,55.9,0.44,3.84,5.2,0.31,0.11,2.7,0.08,38.8,75.1,0.82,0.0
Snacks,44.14,0.72,1.67,6.67,0.41,1.13,19.72,0.25,51.01,22.66,1.04,1.22
Snail,9.0,1.61,0.14,0.2,0.0,0.0,1.0,0.35,7.0,38.2,0.0,5.0
Snapper,11.4,2.34,0.15,0.0,0.0,0.0,3.6,0.02,6.05,46.95,0.16,4.2
Soup,7.39,0.33,0.25,0.97,0.08,0.15,2.34,0.07,105.97,12.36,0.15,0.5
Soup Company,7.1,0.4,0.32,0.71,0.08,0.08,1.6,0.06,77.8,0.0,0.0,2.0
Sour Cream,13.03,0.45,0.82,0.99,0.0,0.03,13.57,0.0,9.4,18.4,0.06,2.63
Sour Crm,20.8,0.24,1.95,0.66,0.0,0.66,0.3,0.04,10.2,16.1,0.0,0.0
Sour Drsng,17.8,0.32,1.66,0.47,0.0,0.47,11.3,0.0,4.8,16.2,0.09,0.5
Sourdock,4.2,0.23,0.07,0.65,0.0,0.0,0.2,0.08,0.0,0.0,6.8,0.0
Soursop,6.6,0.1,0.03,1.68,0.33,1.35,1.4,0.06,1.4,27.8,2.06,0.0
Soy Flour,38.03,4.24,1.03,3.62,1.44,1.23,24.4,0.79,1.4,232.97,0.0,0.0
Soy Flr,41.1,4.23,1.6,3.2,0.91,0.84,21.1,0.64,1.28,225.14,0.0,0.0
Soy Meal,33.8,4.71,0.24,3.8,0.0,0.0,24.4,1.37,0.3,249.0,0.0,0.0
Soy Prot Conc,33.0,6.0,0.05,2.91,0.55,1.33,36.3,1.08,60.1,103.4,0.0,0.0
Soy Prot Isolate,35.38,8.57,0.23,0.32,0.19,0.0,18.9,1.58,33.2,122.0,0.0,0.0
Soy Sau Made From Soy&Wheat (Shoyu),5.3,0.52,0.01,0.85,0.08,0.17,1.7,0.2,333.3,18.0,0.0,0.0
Soybean,15.1,1.25,0.81,0.69,0.0,0.16,18.8,0.56,2.0,19.9,0.0,0.0
Soybeans,22.49,1.95,1.14,1.6,0.58,0.13,12.38,0.37,8.73,79.69,0.98,0.0
Soymilk,4.77,0.25,0.12,0.67,0.05,0.48,9.54,0.05,5.16,12.91,0.05,0.0
Soymilk (All Flavors),3.65,0.25,0.11,0.42,0.05,0.25,11.55,0.04,4.53,10.75,0.18,0.0
Spaghetti,22.53,0.95,0.14,4.35,0.22,0.09,2.1,0.18,6.96,12.85,0.0,0.06
Spaghetti W/ Meat Sau,9.0,0.5,0.1,1.52,0.18,0.26,1.8,0.12,16.7,14.4,0.54,0.6
Spaghettios,9.2,0.36,0.28,1.31,0.08,0.48,6.0,0.11,39.3,0.0,0.24,0.8
Spearmint,16.45,1.16,0.34,3.02,1.83,0.0,84.35,4.97,18.7,119.1,0.66,0.0
Spelt,23.25,1.0,0.16,4.83,0.73,0.34,1.85,0.31,0.65,26.55,0.0,0.0
Spices,29.2,1.26,0.73,6.38,3.03,0.13,132.25,4.98,3.45,176.4,4.64,0.0
Spinach,2.52,0.31,0.05,0.38,0.26,0.04,12.21,0.23,15.21,36.07,1.1,0.0
Spiny Lobster,12.75,2.35,0.17,0.28,0.0,0.0,5.6,0.13,20.2,19.4,0.2,8.0
Split Pea Soup,7.1,0.38,0.09,1.18,0.19,0.51,1.7,0.08,16.6,18.3,0.0,0.2
Split Pea W/ Ham Soup,6.8,0.4,0.07,1.14,0.19,0.16,1.6,0.07,19.6,20.4,0.1,0.3
Sports Drk,2.3,0.0,0.0,0.58,0.0,0.38,0.07,0.01,3.2,1.43,0.22,0.0
Spot,14.05,2.11,0.56,0.0,0.0,0.0,1.6,0.04,3.3,56.6,0.0,6.85
Squab,19.0,1.92,1.19,0.0,0.0,0.0,1.17,0.35,5.33,23.2,0.58,9.17
Squash,2.91,0.11,0.02,0.68,0.14,0.14,2.13,0.05,8.1,23.92,0.85,0.0
Squid,13.35,1.68,0.44,0.54,0.0,0.0,3.55,0.08,17.5,26.25,0.44,24.65
Squirrel,11.1,1.93,0.38,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Stagg Classic Chili W/Bns,13.1,0.7,0.66,1.18,0.3,0.29,3.7,0.16,33.4,31.8,0.1,1.7
Stagg Country Chili W/Bns,12.9,0.63,0.64,1.17,0.24,0.24,2.3,0.14,45.8,22.6,0.07,1.6
