ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Jams&Preserves,24.2,0.07,0.02,6.44,0.03,4.34,2.0,0.05,4.0,7.7,0.88,0.0
Java-Plum,6.0,0.07,0.02,1.56,0.0,0.0,1.9,0.02,1.4,7.9,1.43,0.0
Jellies,17.9,0.03,0.0,4.61,0.08,4.53,0.5,0.02,0.2,7.1,0.0,0.0
Jellyfish,3.6,0.55,0.14,0.0,0.0,0.0,0.2,0.23,969.0,0.3,0.0,0.5
Jerusalem-Artichokes,7.3,0.2,0.0,1.74,0.16,0.96,1.4,0.34,0.4,42.9,0.4,0.0
Jew'S Ear,2.5,0.05,0.0,0.68,0.0,0.0,1.6,0.06,0.9,4.3,0.06,0.0
Jimmy Dean,40.1,0.99,2.94,2.41,0.15,0.0,7.9,0.16,91.8,0.0,0.0,3.3
Juice,5.1,0.02,0.01,1.27,0.0,1.04,4.15,0.01,0.6,9.25,3.94,0.0
Jujube,18.3,0.25,0.06,4.69,0.0,0.0,5.0,0.11,0.6,39.05,4.1,0.0
Jute,3.6,0.4,0.02,0.68,0.13,0.07,21.0,0.37,8.87,55.3,3.43,0.0
Kale,3.24,0.24,0.05,0.62,0.17,0.06,12.89,0.15,11.13,31.96,5.86,0.0
Kamut,24.15,1.06,0.16,5.04,0.46,0.41,1.2,0.22,0.3,22.3,0.0,0.0
Kanpyo,25.8,0.86,0.06,6.5,0.0,0.0,28.0,0.51,1.5,158.2,0.02,0.0
Keebler,47.0,0.62,1.81,7.08,0.0,2.69,0.0,0.0,37.15,0.0,0.0,0.0
Kellogg,33.61,0.51,0.66,6.58,0.14,2.81,2.66,0.38,41.34,10.77,0.04,0.16
Kellogg'S Pop-Tarts Pastry Swirls,41.0,0.48,1.77,5.96,0.12,2.1,4.27,0.17,29.0,0.0,0.0,0.03
Kentucky Fried Chick,26.56,2.02,1.59,1.04,0.07,0.07,3.03,0.09,67.77,25.71,0.06,8.6
Kid Cuisine Chk Nug,17.8,0.72,0.78,1.98,0.29,1.09,3.3,0.11,32.8,0.0,0.0,2.2
Kielbasa,26.75,1.27,2.24,0.34,0.0,0.08,0.85,0.1,105.2,15.0,0.74,6.8
Kiwi Fruit,6.1,0.11,0.05,1.47,0.3,0.9,3.4,0.03,0.3,31.2,9.27,0.0
Kiwifruit,6.1,0.1,0.04,1.49,0.34,0.0,2.6,0.04,0.5,33.2,7.5,0.0
Kohlrabi,2.83,0.18,0.01,0.65,0.19,0.27,2.47,0.04,9.93,34.33,5.67,0.0
Kraft,38.1,1.26,0.41,7.31,0.25,1.01,6.3,0.43,153.2,26.7,0.33,0.4
Kraft Foods,37.7,0.61,0.37,7.98,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0
Kraft Macaroni & Cheese Dinner Original Flavor,37.0,1.62,0.37,6.79,0.21,1.0,13.2,0.37,80.2,42.3,0.05,1.4
Kumquats,7.1,0.19,0.09,1.59,0.65,0.94,6.2,0.09,1.0,18.6,4.39,0.0
Lamb,24.12,2.22,1.62,0.01,0.0,0.0,1.62,0.25,6.87,25.55,0.13,13.15
Lambs Quarters,3.2,0.32,0.07,0.5,0.21,0.06,25.8,0.07,26.5,28.8,3.7,0.0
Lambsquarters,4.25,0.39,0.05,0.67,0.44,0.02,32.05,0.11,2.08,77.0,3.05,0.0
Lasagna,13.45,0.67,0.57,1.4,0.18,0.34,13.05,0.09,31.8,17.6,0.91,1.35
Lasagna W/ Meat & Sau,11.4,0.75,0.35,1.32,0.12,0.11,10.5,0.09,23.05,15.4,1.97,1.1
Leavening Agents,12.27,0.67,0.1,3.09,0.46,0.0,252.33,0.77,658.21,417.51,0.01,0.0
Leeks,11.1,0.46,0.07,2.6,0.35,0.2,11.98,0.3,7.78,68.85,3.46,0.0
Lemon Grass (Citronella),9.9,0.18,0.05,2.53,0.0,0.0,6.5,0.82,0.6,72.3,0.26,0.0
Lemon Juc,2.15,0.04,0.03,0.65,0.04,0.24,0.95,0.01,1.1,9.55,2.82,0.0
Lemon Juice,2.5,0.04,0.0,0.86,0.04,0.24,0.7,0.0,0.1,12.4,4.6,0.0
Lemon Peel,4.7,0.15,0.03,1.6,1.06,0.42,13.4,0.08,0.6,16.0,12.9,0.0
Lemonade,15.04,0.05,0.01,3.79,0.01,1.99,42.72,0.1,0.41,3.86,5.96,0.0
Lemonade-Flavor Drk,20.75,0.01,0.0,5.06,0.0,5.06,4.6,0.01,7.6,0.2,1.78,0.0
Lemons,2.45,0.12,0.03,1.0,0.37,0.12,4.35,0.06,0.25,14.15,6.5,0.0
Lentils,17.66,1.36,0.08,3.19,0.82,0.08,2.69,0.45,7.43,45.16,0.73,0.0
Lettuce,1.5,0.12,0.02,0.27,0.13,0.11,3.1,0.09,1.52,20.14,1.04,0.0
Light Ice Crm,17.55,0.4,0.61,2.62,0.02,2.28,13.2,0.04,6.45,20.3,0.08,1.55
Lima Bns,13.64,0.84,0.04,2.55,0.75,0.21,3.39,0.27,11.14,55.39,0.69,0.0
Lime Juc,2.1,0.02,0.02,0.67,0.04,0.14,1.2,0.02,1.6,7.5,0.64,0.0
Lime Juice,2.5,0.04,0.01,0.84,0.04,0.17,1.4,0.01,0.2,11.7,3.0,0.0
Limeade,14.95,0.0,0.0,3.81,0.0,3.66,0.1,0.0,0.15,2.65,0.86,0.0
Limes,3.0,0.07,0.02,1.05,0.28,0.17,3.3,0.06,0.2,10.2,2.91,0.0
Ling,9.9,2.17,0.07,0.0,0.0,0.0,3.9,0.07,15.4,43.25,0.0,4.55
Lingcod,9.7,2.01,0.12,0.0,0.0,0.0,1.6,0.04,6.75,49.85,0.0,5.95
Lipton,41.8,1.55,1.18,6.24,0.0,0.0,12.7,0.3,177.0,0.0,0.0,11.2
Litchis,17.15,0.23,0.08,4.36,0.29,4.07,1.9,0.1,0.2,64.05,12.72,0.0
"Little Caesars 14"" Chs Pizza",28.6,1.44,1.36,2.65,0.14,0.32,32.3,0.15,44.35,16.85,0.0,3.1
"Little Caesars 14"" Original Rnd Chs Pizza",26.5,1.34,0.95,3.15,0.17,0.4,23.3,0.23,45.4,17.0,0.0,2.4
"Little Caesars 14"" Original Rnd Meat & Veg Pizza",24.3,1.21,1.14,2.31,0.21,0.37,16.7,0.21,57.8,19.5,0.0,3.1
"Little Caesars 14"" Original Rnd Pepperoni Pizza",27.3,1.36,1.05,3.1,0.17,0.38,21.0,0.23,51.8,17.8,0.0,2.8
"Little Caesars 14"" Pepperoni Pizza",26.5,1.29,1.08,2.9,0.15,0.34,20.1,0.23,49.2,17.3,0.0,2.6
Liver Cheese,30.4,1.52,2.56,0.21,0.0,0.0,0.8,1.08,122.5,22.6,0.3,17.4
Liver Sausage,32.6,1.41,2.85,0.22,0.0,0.0,2.6,0.64,86.0,17.0,0.0,15.8
Lobster,9.4,1.96,0.07,0.09,0.0,0.0,5.45,0.03,33.8,31.35,0.0,8.35
Loganberries,5.5,0.15,0.03,1.3,0.53,0.77,2.6,0.06,0.1,14.5,1.53,0.0
Loma Linda Big Franks,21.7,2.15,1.2,0.58,0.35,0.04,1.7,0.25,42.6,11.6,0.0,0.0
Loma Linda Dinner Cuts,10.4,1.95,0.11,0.42,0.24,0.04,1.0,0.14,49.6,3.9,0.0,0.1
Loma Linda Fried Chik'N W/ Gravy,18.1,1.32,1.19,0.52,0.28,0.06,1.1,0.16,44.7,5.8,0.0,0.1
Loma Linda Linketts,20.8,2.13,1.18,0.43,0.3,0.03,1.1,0.18,40.1,6.4,0.0,0.0
Loma Linda Little Links,22.1,1.94,1.35,0.55,0.42,0.08,1.9,0.33,47.2,5.6,0.0,0.1
Loma Linda Lofat Big Franks,15.4,2.31,0.47,0.49,0.41,0.03,1.7,0.23,48.1,10.0,0.0,0.0
Loma Linda Redi-Burger,14.9,2.19,0.32,0.82,0.43,0.12,1.7,0.2,50.8,17.0,0.0,0.0
Loma Linda Swiss Stake W/ Gravy,14.1,1.02,0.65,1.04,0.32,0.09,3.5,0.18,47.1,22.6,0.0,0.1
Loma Linda Tender Bits,13.5,1.51,0.46,0.83,0.43,0.06,1.7,0.16,61.3,6.5,0.0,0.0
Loma Linda Tender Rounds W/ Gravy,14.5,1.63,0.56,0.74,0.35,0.1,1.4,0.15,44.3,9.5,0.0,0.1
Loma Linda Vege-Burger,11.5,2.22,0.12,0.37,0.26,0.09,1.6,0.17,22.2,7.4,0.0,0.0
Longans,17.3,0.31,0.02,4.46,0.06,0.0,2.3,0.28,2.4,46.2,5.6,0.0
Loquats,4.7,0.04,0.02,1.21,0.17,0.0,1.6,0.03,0.1,26.6,0.1,0.0
Lotus Root,6.87,0.19,0.01,1.64,0.37,0.02,3.23,0.1,12.2,42.73,3.29,0.0
Lotus Seeds,21.05,0.98,0.12,4.09,0.0,0.0,10.35,0.22,0.3,86.75,0.0,0.0
Louis Rich,13.38,1.64,0.6,0.36,0.0,0.12,4.06,0.13,108.37,23.61,0.0,5.66
Luncheon Meat,27.37,1.41,2.25,0.28,0.0,0.02,1.01,0.12,119.09,33.81,1.18,6.44
Luncheon Sausage,26.0,1.54,2.09,0.16,0.0,0.0,1.3,0.14,118.2,24.5,0.0,6.4
Luncheon Slices,18.9,1.78,1.11,0.44,0.0,0.22,4.1,0.18,71.1,20.0,0.0,0.0
Lupins,20.2,2.24,0.52,1.98,0.19,0.0,9.27,0.23,8.63,50.1,0.23,0.0
Luxury Loaf,14.1,1.84,0.48,0.49,0.0,0.0,3.6,0.11,122.5,37.7,0.0,3.6
Macadamia Nuts,71.73,0.78,7.6,1.33,0.82,0.43,7.5,0.3,9.13,36.47,0.09,0.0
Macaroni,25.85,1.12,0.11,5.08,0.3,0.07,2.12,0.21,0.83,13.29,0.0,0.0
Macaroni And Cheese,8.2,0.34,0.25,1.15,0.05,0.05,3.5,0.09,42.1,8.4,0.0,0.6
Mace,47.5,0.67,3.24,5.05,2.02,0.0,25.2,1.39,8.0,46.3,2.1,0.0
Mackerel,18.23,2.19,0.98,0.0,0.0,0.0,4.81,0.15,56.84,43.49,0.12,6.96
Malabar Spinach,2.3,0.3,0.08,0.27,0.21,0.0,12.4,0.15,5.5,25.6,0.59,0.0
Malted Drk Mix,24.29,0.6,0.4,4.62,0.16,3.54,38.51,0.45,21.82,49.16,3.8,0.85
Mammy-Apple,5.1,0.05,0.05,1.25,0.3,0.0,1.1,0.07,1.5,4.7,1.4,0.0
Mango Nectar,5.1,0.01,0.01,1.31,0.03,1.24,1.7,0.04,0.5,2.4,1.52,0.0
Mangos,6.5,0.05,0.03,1.7,0.18,1.48,1.0,0.01,0.2,15.6,2.77,0.0
Mangosteen,7.3,0.04,0.06,1.79,0.18,0.0,1.2,0.03,0.7,4.8,0.29,0.0
Maraschino Cherries,16.5,0.02,0.02,4.2,0.32,3.88,5.4,0.04,0.4,2.1,0.0,0.0
Margarine,61.69,0.05,6.92,0.07,0.0,0.0,1.74,0.0,57.86,3.17,0.01,0.01
Margarine Sprd,23.4,0.02,2.53,0.26,0.0,0.0,0.6,0.01,61.3,3.6,0.0,0.05
Margarine-Butter Blend,71.4,0.03,8.03,0.08,0.0,0.0,1.0,0.0,63.3,2.2,0.01,1.2
Margarine-Like Shortening,62.8,0.0,7.1,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0
Margarine-Like Sprd,38.17,0.04,4.12,0.29,0.0,0.14,1.25,0.0,72.16,3.35,0.01,0.01
Marie Callender Tky W/Gry & Drsng W/ Mshd Pot,9.9,0.82,0.24,1.14,0.1,0.22,2.4,0.02,31.1,0.0,0.11,1.7
Marie Callender'S Bf Stroganoff & Noodles,11.4,0.67,0.49,1.08,0.2,0.17,2.1,0.06,36.5,0.0,0.0,1.7
Marie Callender'S Chick Pot Pie,23.5,0.68,1.46,1.92,0.1,0.08,1.6,0.14,35.3,0.0,0.0,0.9
Marjoram,27.1,1.27,0.7,6.06,4.03,0.41,199.0,8.27,7.7,152.2,5.14,0.0
Marmalade,24.6,0.03,0.0,6.63,0.07,6.0,3.8,0.02,5.6,3.7,0.48,0.0
Martha White Foods,39.75,0.61,0.97,7.15,0.22,2.96,9.25,0.39,87.6,13.15,0.01,0.15
Mashu Roots,13.5,0.58,0.24,2.26,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
Mayonnaise,29.53,0.24,2.81,0.86,0.04,0.31,1.77,0.01,53.87,4.77,0.0,0.8
Mayonnaise Drsng,68.8,0.0,7.78,0.03,0.0,0.03,0.7,0.02,48.6,1.4,0.0,0.0
McDonald's,23.99,0.8,1.22,2.58,0.13,1.06,7.97,0.13,46.65,16.14,1.01,4.01
Mckee Baking,54.8,0.8,3.28,5.52,0.0,3.4,0.0,0.0,22.3,0.0,0.2,0.0
Meat Drippings (Lard,88.9,0.0,9.86,0.0,0.0,0.0,0.0,0.0,54.5,0.0,0.0,10.1
Meatballs,19.7,2.1,0.9,0.8,0.46,0.12,2.5,0.22,55.0,18.0,0.0,0.0
Melon,2.1,0.08,0.02,0.41,0.03,0.34,1.3,0.02,1.1,14.0,0.81,0.0
Melon Balls,3.3,0.08,0.02,0.79,0.07,0.0,1.0,0.03,3.1,28.0,0.62,0.0
Melons,3.27,0.08,0.01,0.79,0.09,0.72,0.87,0.02,1.43,22.57,2.55,0.0
Milk,12.62,0.92,0.32,1.53,0.01,1.24,30.46,0.01,18.31,41.55,0.21,1.4
Milk Dssrt,16.7,0.43,0.1,3.77,0.0,3.77,15.4,0.0,9.7,33.3,0.07,0.0
Milk Shakes,11.55,0.35,0.29,1.94,0.02,1.93,13.9,0.02,10.3,20.35,0.0,1.15
Milk Substitutes,6.1,0.18,0.34,0.62,0.0,0.31,3.3,0.04,7.8,11.4,0.0,0.0
Milkfish,16.9,2.34,0.77,0.0,0.0,0.0,5.8,0.04,8.2,33.3,0.0,5.95
Millet,28.37,0.92,0.29,5.88,0.42,0.02,0.63,0.22,0.4,9.9,0.0,0.0
Mission Foods,28.7,0.87,0.6,4.96,0.0,0.0,19.1,0.2,48.8,0.0,0.0,0.0
Mixed Nuts,60.7,1.65,5.43,2.33,0.78,0.18,9.2,0.32,20.18,57.26,0.05,0.0
Mixed Veg & Fruit Juc Drk,2.9,0.0,0.0,0.75,0.0,0.21,0.3,0.0,2.1,1.9,3.25,0.0
Monkfish,8.65,1.65,0.17,0.0,0.0,0.0,0.9,0.04,2.05,45.65,0.1,2.85
Moose,12.9,2.33,0.32,0.17,0.0,0.0,0.6,0.5,6.75,27.6,1.33,22.15
Mor-Nu,3.7,0.63,0.08,0.11,0.0,0.04,3.6,0.08,8.5,6.3,0.0,0.0
Mori-Nu,5.25,0.65,0.2,0.21,0.01,0.1,3.42,0.1,5.05,14.62,0.0,0.0
Morningstar Farms America'S Original Veggie Dog,13.2,1.97,0.13,1.23,0.35,0.41,2.3,0.15,106.8,12.1,0.0,0.0
Morningstar Farms Asian Veggie Patties,15.5,1.09,0.62,1.49,0.3,0.49,5.1,0.15,72.5,39.2,0.3,0.0
Morningstar Farms Brkfst Pattie Made W/ Org Soy,20.5,2.21,0.82,1.06,0.43,0.15,4.5,0.35,63.2,45.8,0.0,0.2
Morningstar Farms Cheddar Burger,22.2,1.97,1.04,1.61,0.5,0.18,23.9,0.24,71.6,41.3,2.2,1.2
Morningstar Farms Chik Patties Original,19.7,1.18,0.7,2.29,0.3,0.2,4.1,0.25,83.5,39.2,0.0,0.0
Morningstar Farms Chik'N Nuggets,21.8,1.42,0.87,2.08,0.23,0.13,3.7,0.28,65.7,32.8,0.0,0.1
Morningstar Farms Garden Veggie Patties,17.6,1.78,0.56,1.37,0.45,0.18,5.9,0.22,52.5,21.0,0.11,0.2
Morningstar Farms Grillers Original,21.3,2.39,0.93,0.85,0.44,0.12,6.1,0.42,42.2,18.2,0.0,0.3
Morningstar Farms Grillers Prime,23.8,2.4,1.32,0.59,0.26,0.03,5.8,0.28,50.1,22.4,0.0,0.1
Morningstar Farms Grillers Recipe Crumbles,13.1,1.78,0.43,0.77,0.47,0.06,3.2,0.46,42.7,18.9,0.0,0.0
Morningstar Farms Grillers Vegan,13.2,1.63,0.34,0.91,0.52,0.04,3.7,0.29,39.5,49.8,0.0,0.0
Morningstar Farms Italian Herb Chik Patties,23.6,1.36,0.7,3.11,0.34,0.15,5.0,0.38,68.2,48.3,0.0,0.0
Morningstar Farms Meal Starters Chik'N Strips,16.4,2.68,0.39,0.67,0.14,0.12,4.5,0.54,59.7,12.4,0.0,0.0
Morningstar Farms Meal Starters Steak Strips,17.3,2.61,0.41,0.9,0.11,0.12,4.7,0.83,62.3,21.4,0.0,0.0
Morningstar Farms Meatfree Buffalo Wings,23.0,1.45,0.94,2.33,0.37,0.2,5.1,0.32,77.4,49.3,0.06,0.0
Morningstar Farms Meatless Corn Dogs,22.8,1.14,0.62,3.17,0.42,0.74,1.3,0.18,65.7,8.8,0.0,0.0
Morningstar Farms Meatless Mini Corn Dogs,22.9,1.34,0.65,2.93,0.42,0.35,2.0,0.17,67.7,10.9,0.0,0.1
Morningstar Farms Mushroom Lover'S Burger,16.9,1.16,0.88,1.18,0.12,0.16,0.0,0.11,34.6,0.0,0.0,0.0
Morningstar Farms Okara Patties Made W/ Org Soy,17.8,1.86,0.72,0.96,0.45,0.12,3.8,0.24,47.5,38.2,0.0,0.1
Morningstar Farms Original Chik'N Tenders,23.3,1.47,0.81,2.52,0.36,0.06,5.2,0.32,71.4,24.7,0.0,0.0
Morningstar Farms Philly Cheesesteak Burger,18.6,1.46,0.95,1.05,0.31,0.08,6.0,0.18,60.0,21.9,1.21,0.0
Morningstar Farms Rstd Herb Chik'N W/ Org Soy,16.7,1.89,0.41,1.36,0.27,0.14,3.0,0.26,53.2,27.9,0.0,0.1
Morningstar Farms Sausage Style Recipe Crumbles,16.4,1.78,0.42,1.37,0.2,0.11,9.6,0.69,80.9,21.1,0.0,0.0
Morningstar Farms Spicy Black Bean Burger,17.1,1.61,0.57,1.97,0.68,0.28,10.3,0.22,52.0,38.0,0.1,0.1
Morningstar Farms Tomato & Basil Pizza Burger,18.1,1.55,0.83,1.11,0.37,0.24,4.8,0.18,38.9,23.8,2.2,1.1
Morningstar Farms Vegan Burger Made W/ Org Soy,13.8,1.89,0.22,1.07,0.57,0.21,3.1,0.28,64.4,34.9,0.0,0.0
Morningstar Farms Veggie Bacon Strips,34.6,1.24,2.66,1.43,0.51,0.08,4.2,0.36,146.3,9.7,0.0,0.2
Morningstar Farms Veggie Bites Broccoli Cheddar,20.9,0.99,1.17,1.74,0.15,0.34,8.7,0.38,64.1,16.3,0.68,0.8
Morningstar Farms Veggie Bites Country Scramble,21.6,1.3,0.94,1.98,0.24,0.21,8.0,0.35,64.0,11.0,0.7,1.3
Morningstar Farms Veggie Bites Eggs Florentine,20.6,1.17,0.87,2.01,0.22,0.33,11.4,0.33,65.7,16.7,0.13,1.4
Morningstar Farms Veggie Bites Spinach Artichoke,22.1,1.1,1.19,1.88,0.21,0.47,10.7,0.33,67.0,17.5,0.5,0.8
Morningstar Farms Veggie Cakes Ginger Teriyaki,16.3,0.82,0.23,2.79,0.27,0.26,3.2,0.53,47.5,25.1,0.53,0.0
Morningstar Farms Veggie Cakes Southwestern Style,19.7,0.95,0.46,3.08,0.32,0.04,8.3,0.53,50.0,20.8,0.3,0.7
Morningstar Farms Veggie Corn Dogs W/ Nat Ingr,23.1,1.16,0.68,3.09,0.23,0.82,1.3,0.24,73.5,8.8,0.0,0.0
Morningstar Farms Veggie Medley W/ Org Soy,17.8,1.59,0.57,1.58,0.27,0.16,4.7,0.25,39.4,34.7,0.0,0.2
Morningstar Farms Veggie Sausage Links,15.9,1.92,0.61,0.68,0.4,0.1,2.6,0.59,67.0,10.9,0.0,0.2
Morningstar Farms Veggie Sausage Patties,21.0,2.58,0.79,0.88,0.41,0.17,4.4,0.45,67.1,32.8,0.0,0.2
Mortadella,31.1,1.64,2.54,0.3,0.0,0.0,1.8,0.14,124.6,16.3,0.0,5.6
Mothbeans,19.23,1.29,0.09,3.45,0.0,0.0,5.2,0.57,9.53,59.97,0.2,0.0
Mother'S Loaf,28.2,1.21,2.23,0.75,0.0,0.0,4.3,0.13,112.7,22.5,0.1,4.5
Mountain Yam,7.7,0.16,0.01,1.88,0.0,0.0,1.4,0.04,9.1,46.93,0.09,0.0
Mouse Nuts,9.25,0.56,0.06,1.62,0.0,0.0,1.95,0.0,0.0,0.0,1.2,0.0
Muffin,25.5,0.42,0.42,5.0,0.42,2.7,3.5,0.2,31.5,9.6,0.09,2.8
Muffins,32.49,0.6,1.08,5.26,0.26,0.7,7.7,0.22,51.46,14.87,0.02,2.11
Mulberries,4.3,0.14,0.04,0.98,0.17,0.81,3.9,0.18,1.0,19.4,3.64,0.0
Mullet,13.35,2.21,0.43,0.0,0.0,0.0,3.6,0.12,6.8,40.75,0.12,5.6
Mung Bns,9.67,0.7,0.04,1.79,0.53,0.29,3.37,0.2,7.51,33.54,0.84,0.0
Mungo Bns,18.37,1.34,0.09,3.19,1.04,0.13,8.13,0.37,9.6,48.17,0.07,0.0
Mush,5.4,0.07,0.05,1.17,0.11,0.02,9.6,0.29,0.8,5.8,0.0,0.0
Mushroom,4.3,0.33,0.04,0.65,0.23,0.11,0.3,0.13,1.8,42.0,0.0,0.0
Mushrooms,5.18,0.32,0.04,1.08,0.27,0.14,0.61,0.08,8.57,39.0,0.09,0.0
Mussel,12.9,1.78,0.34,0.55,0.0,0.0,2.95,0.53,32.75,29.4,1.08,4.2
Mustard,6.7,0.44,0.4,0.53,0.33,0.09,5.8,0.15,113.5,13.8,0.15,0.0
Mustard Greens,2.6,0.27,0.02,0.49,0.33,0.16,10.3,0.15,2.5,35.4,7.0,0.0
Mustard Grns,1.76,0.23,0.02,0.28,0.26,0.02,9.32,0.1,11.66,17.04,2.07,0.0
Mustard Seed,46.9,2.49,2.88,3.49,1.47,0.68,52.1,1.0,0.5,68.2,0.3,0.0
Mustard Spinach,1.8,0.19,0.02,0.32,0.23,0.0,17.53,0.1,9.5,33.97,8.67,0.0
Mutton,23.4,3.34,1.11,0.01,0.0,0.0,1.0,0.48,13.5,40.9,0.0,10.9
Nabisco,44.2,0.55,1.66,6.95,0.23,2.85,6.56,0.36,49.34,13.4,0.0,0.2
Nalley Chili Con Carne W/Bns,10.9,1.56,0.31,0.46,0.5,0.0,0.0,0.18,47.7,0.0,0.0,1.0
Nectarines,4.4,0.11,0.03,1.06,0.17,0.79,0.6,0.03,0.0,20.1,0.54,0.0
Nestle,16.43,0.81,1.02,1.08,0.19,0.13,2.27,0.14,56.87,20.87,0.0,2.2
New England Brand Sausage,16.1,1.73,0.76,0.48,0.0,0.0,0.7,0.09,122.0,32.1,0.0,4.9
New Zealand Spinach,1.27,0.14,0.02,0.23,0.0,0.0,5.13,0.07,19.33,11.13,2.07,0.0
Noodles,27.7,0.8,0.58,4.87,0.19,0.04,2.19,0.19,27.64,11.54,0.0,2.75
Nopales,1.55,0.13,0.01,0.33,0.21,0.11,16.4,0.05,2.05,22.6,0.73,0.0
Nutmeg,52.5,0.58,3.63,4.93,2.08,2.85,18.4,0.3,1.6,35.0,0.3,0.0
Nuts,55.0,1.25,4.62,2.95,0.41,1.63,4.12,0.39,11.72,48.48,0.04,0.0
Oat Bran,14.3,1.03,0.39,3.88,0.9,0.07,3.4,0.31,0.25,32.9,0.0,0.0
Oat Flr,40.4,1.47,0.91,6.57,0.65,0.08,5.5,0.4,1.9,37.1,0.0,0.0
Ocean Perch,10.75,2.12,0.19,0.0,0.0,0.0,12.2,0.11,8.55,31.15,0.08,4.8
Octopus,12.3,2.24,0.16,0.33,0.0,0.0,7.95,0.74,34.5,49.0,0.65,7.2
Oheloberries,2.8,0.04,0.02,0.68,0.0,0.0,0.7,0.01,0.1,3.8,0.6,0.0
Oil,88.36,0.0,9.96,0.03,0.0,0.0,0.02,0.0,0.18,0.03,0.0,0.28
Okra,2.68,0.19,0.02,0.57,0.27,0.25,8.47,0.05,8.33,20.87,1.51,0.0
Old El Paso Chili W/Bns,10.9,0.77,0.45,0.95,0.43,0.0,0.0,0.12,25.8,0.0,0.0,1.6
Olive Loaf,23.5,1.18,1.65,0.92,0.0,0.0,10.9,0.05,148.4,29.7,0.0,3.8
Olives,11.37,0.09,1.1,0.52,0.3,0.02,7.8,0.24,110.87,1.97,0.08,0.0
Onion Rings,33.25,0.42,2.04,3.43,0.15,0.0,3.85,0.13,31.05,15.95,0.3,0.0
Onions,5.76,0.16,0.08,1.2,0.21,0.49,4.37,0.06,7.68,24.34,1.39,0.0
Oopah (Tunicate),6.7,1.17,0.22,0.0,0.0,0.0,5.3,2.07,0.0,0.0,0.0,0.0
Orange Brkfst Drk,4.8,0.0,0.0,1.2,0.02,0.73,5.2,0.0,2.8,6.2,1.85,0.0
Orange Drk,8.23,0.02,0.0,2.09,0.0,2.0,17.4,0.01,1.3,21.67,10.07,0.0
Orange Juc,6.38,0.1,0.02,1.5,0.03,0.91,4.53,0.02,0.18,26.97,5.26,0.0
Orange Juice,4.5,0.07,0.02,1.04,0.02,0.84,1.1,0.02,0.1,20.0,5.0,0.0
Orange Peel,9.7,0.15,0.02,2.5,1.06,0.0,16.1,0.08,0.3,21.2,13.6,0.0
Orange&Apricot Juc Drk,5.1,0.03,0.01,1.27,0.01,1.21,0.5,0.01,0.2,8.0,2.0,0.0
Orange-Flavor Drk,17.46,0.07,0.01,5.05,0.09,3.21,39.68,0.01,2.74,78.12,59.45,0.0
Orange-Grapefruit Juc,4.3,0.06,0.01,1.03,0.01,1.02,0.8,0.05,0.3,15.8,2.91,0.0
Oranges,5.08,0.1,0.02,1.26,0.28,0.54,4.72,0.02,0.06,17.82,5.54,0.0
Oriental Mix,50.6,1.73,2.56,5.16,1.32,0.3,5.4,0.24,41.3,32.8,0.03,0.0
Oscar Mayer,23.7,1.38,1.87,0.33,0.0,0.19,3.32,0.22,116.37,22.98,0.05,7.19
Ostrich,13.59,2.46,0.35,0.0,0.0,0.0,0.57,0.36,7.72,33.28,0.0,7.84
Owl,13.6,2.27,0.5,0.0,0.0,0.0,1.6,0.48,0.0,0.0,0.0,0.0
Oyster,10.28,0.95,0.39,0.66,0.0,0.0,4.57,0.72,22.94,20.27,0.6,6.18
Palm Hearts,11.5,0.27,0.02,2.56,0.15,1.72,1.8,0.17,1.4,180.6,0.8,0.0
Pancakes,27.49,0.83,0.52,4.88,0.21,0.14,23.77,0.29,78.59,26.32,0.04,2.82
Pancakes Plain,22.5,0.53,0.52,3.93,0.24,0.97,7.1,0.22,50.5,12.4,0.03,1.8
"Papa John'S 14"" Chs Pizza",27.75,1.19,1.25,2.95,0.21,0.46,20.2,0.12,55.3,14.9,0.0,2.35
"Papa John'S 14"" Pepperoni Pizza",27.5,1.2,1.19,3.0,0.12,0.48,15.2,0.2,67.1,15.0,0.0,2.6
"Papa John'S 14"" The Works Pizza",24.0,1.03,1.02,2.67,0.25,0.48,9.9,0.15,57.0,16.0,0.0,2.1
Papaya Nectar,5.7,0.02,0.02,1.45,0.06,1.39,1.0,0.03,0.5,3.1,0.3,0.0
Papayas,3.9,0.06,0.01,0.98,0.18,0.59,2.4,0.01,0.3,25.7,6.18,0.0
Parmesan Chs Topping,37.0,4.0,0.5,4.0,0.0,0.15,80.0,0.5,115.0,60.0,0.0,2.0
Parsley,19.43,1.89,0.35,3.35,2.21,0.27,59.4,5.27,29.97,355.3,13.47,0.0
Parsnips,7.23,0.13,0.03,1.73,0.42,0.48,3.67,0.06,8.87,36.97,1.43,0.0
Passion-Fruit,9.7,0.22,0.07,2.34,1.04,1.12,1.2,0.16,2.8,34.8,3.0,0.0
